source,target,weight
성인자녀가족,SMALL_RETAIL_STORE,0.1321
청소년가족,SMALL_RETAIL_STORE,0.1321
청소년가족,CLOTHING_ACCESSORIES,0.1058
실버,MEDICAL,0.07529999999999999
싱글,CLOTHING_ACCESSORIES,0.10580000000000002
싱글,HOME_LIFE_SERVICE,0.0824
*,SMALL_RETAIL_STORE,0.1321
싱글,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,ACCOMMODATION,0.10870000000000002
*,SPORTS_CULTURE_LEISURE,0.3711
청소년가족,ELECTRONICS_FURNITURE,0.09230000000000001
영유아가족,CLOTHING_ACCESSORIES,0.10580000000000002
신혼부부,ELECTRONICS_FURNITURE,0.09230000000000001
*,FOOD,0.1907
*,SMALL_RETAIL_STORE,0.1321
성인자녀가족,ACCOMMODATION,0.10869999999999999
성인자녀가족,BEAUTY,0.12359999999999999
신혼부부,ENTERTAINMENT,0.0626
영유아가족,EDUCATION_ACADEMY,0.0771
싱글,FOOD,0.19070000000000004
싱글,SMALL_RETAIL_STORE,0.1321
싱글,MEDICAL,0.0753
성인자녀가족,SPORTS_CULTURE_LEISURE,0.37109999999999993
싱글,CAR_SERVICE_SUPPLIES,0.0751
신혼부부,FOOD,0.1907
신혼부부,CAR_SERVICE_SUPPLIES,0.0751
청소년가족,COFFEE,0.2018
싱글,EDUCATION_ACADEMY,0.07709999999999999
싱글,HOME_LIFE_SERVICE,0.08239999999999999
*,COFFEE,0.20180000000000003
신혼부부,ACCOMMODATION,0.1087
실버,BEAUTY,0.12360000000000003
영유아가족,SMALL_RETAIL_STORE,0.1321
영유아가족,COFFEE,0.20179999999999998
*,MEDICAL,0.0753
싱글,ENTERTAINMENT,0.0626
신혼부부,CLOTHING_ACCESSORIES,0.1058
영유아가족,CAR_SERVICE_SUPPLIES,0.0751
실버,CLOTHING_ACCESSORIES,0.10580000000000003
신혼부부,MEDICAL,0.07529999999999999
신혼부부,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,ACCOMMODATION,0.1087
성인자녀가족,MEDICAL,0.0753
청소년가족,COFFEE,0.2018
영유아가족,ACCOMMODATION,0.10869999999999999
싱글,ACCOMMODATION,0.10870000000000002
싱글,SPORTS_CULTURE_LEISURE,0.3711
청소년가족,CAR_SERVICE_SUPPLIES,0.0751
*,ACCOMMODATION,0.10870000000000002
*,FOOD,0.1907
실버,CAR_SERVICE_SUPPLIES,0.0751
실버,SPORTS_CULTURE_LEISURE,0.37110000000000004
영유아가족,FOOD,0.1907
성인자녀가족,SMALL_RETAIL_STORE,0.1321
실버,SPORTS_CULTURE_LEISURE,0.37110000000000004
실버,CAR,0.1251
성인자녀가족,CAR,0.1251
청소년가족,EDUCATION_ACADEMY,0.0771
신혼부부,HOME_LIFE_SERVICE,0.08239999999999999
영유아가족,EDUCATION_ACADEMY,0.0771
성인자녀가족,GAS_STATION,0.29729999999999995
성인자녀가족,GAS_STATION,0.29729999999999995
청소년가족,TRAVEL,0.1715
청소년가족,ACCOMMODATION,0.1087
싱글,ENTERTAINMENT,0.0626
영유아가족,ENTERTAINMENT,0.0626
싱글,CLOTHING_ACCESSORIES,0.1058
청소년가족,COFFEE,0.2018
*,SPORTS_CULTURE_LEISURE,0.37109999999999993
성인자녀가족,CLOTHING_ACCESSORIES,0.1058
성인자녀가족,CAR_SERVICE_SUPPLIES,0.0751
신혼부부,EDUCATION_ACADEMY,0.0771
청소년가족,BEAUTY,0.12359999999999999
실버,FOOD,0.19070000000000004
*,ENTERTAINMENT,0.0626
싱글,ELECTRONICS_FURNITURE,0.0923
싱글,SMALL_RETAIL_STORE,0.13209999999999997
청소년가족,CLOTHING_ACCESSORIES,0.1058
*,SMALL_RETAIL_STORE,0.13209999999999997
신혼부부,CLOTHING_ACCESSORIES,0.1058
영유아가족,EDUCATION_ACADEMY,0.07710000000000002
*,FOOD,0.1907
실버,MEDICAL,0.0753
실버,HOME_LIFE_SERVICE,0.0824
*,ACCOMMODATION,0.10870000000000002
싱글,HOME_LIFE_SERVICE,0.0824
신혼부부,CAR_SERVICE_SUPPLIES,0.0751
영유아가족,ELECTRONICS_FURNITURE,0.0923
싱글,CAR,0.12509999999999996
성인자녀가족,FOOD,0.1907
영유아가족,CAR_SERVICE_SUPPLIES,0.07509999999999999
성인자녀가족,CAR_SERVICE_SUPPLIES,0.07509999999999999
성인자녀가족,CLOTHING_ACCESSORIES,0.1058
청소년가족,ACCOMMODATION,0.1087
신혼부부,CLOTHING_ACCESSORIES,0.1058
성인자녀가족,ELECTRONICS_FURNITURE,0.0923
싱글,SPORTS_CULTURE_LEISURE,0.3711
영유아가족,SMALL_RETAIL_STORE,0.13209999999999997
신혼부부,SMALL_RETAIL_STORE,0.1321
청소년가족,CLOTHING_ACCESSORIES,0.10579999999999999
성인자녀가족,CAR_SERVICE_SUPPLIES,0.0751
실버,SMALL_RETAIL_STORE,0.13209999999999997
청소년가족,FOOD,0.1907
청소년가족,SMALL_RETAIL_STORE,0.1321
싱글,CAR_SERVICE_SUPPLIES,0.0751
성인자녀가족,HOME_LIFE_SERVICE,0.0824
신혼부부,SMALL_RETAIL_STORE,0.1321
싱글,COFFEE,0.2018
싱글,SMALL_RETAIL_STORE,0.1321
실버,FOOD,0.1907
*,SPORTS_CULTURE_LEISURE,0.37109999999999993
*,CAR,0.12510000000000002
영유아가족,BEAUTY,0.12359999999999997
실버,CAR,0.1251
*,ELECTRONICS_FURNITURE,0.0923
영유아가족,ELECTRONICS_FURNITURE,0.0923
실버,EDUCATION_ACADEMY,0.0771
성인자녀가족,MEDICAL,0.07529999999999999
실버,MEDICAL,0.07530000000000002
청소년가족,ENTERTAINMENT,0.0626
신혼부부,ELECTRONICS_FURNITURE,0.09230000000000001
싱글,ENTERTAINMENT,0.0626
영유아가족,ELECTRONICS_FURNITURE,0.0923
신혼부부,ELECTRONICS_FURNITURE,0.09230000000000001
신혼부부,ELECTRONICS_FURNITURE,0.0923
싱글,ELECTRONICS_FURNITURE,0.09230000000000001
실버,ENTERTAINMENT,0.0626
영유아가족,BEAUTY,0.1236
성인자녀가족,TRAVEL,0.1715
실버,GAS_STATION,0.29729999999999995
싱글,E_COMMERCE,0.047900000000000005
실버,E_COMMERCE,0.0479
실버,E_COMMERCE,0.0479
영유아가족,E_COMMERCE,0.047900000000000005
실버,GAS_STATION,0.2973
*,LARGE_DISCOUNT_STORE,0.1171
신혼부부,LARGE_DISCOUNT_STORE,0.11710000000000001
성인자녀가족,E_COMMERCE,0.04789999999999999
청소년가족,TRAVEL,0.17149999999999999
실버,DEPARTMENT_STORE,0.1171
성인자녀가족,TRAVEL,0.17149999999999999
싱글,E_COMMERCE,0.047900000000000005
청소년가족,TRAVEL,0.1715
신혼부부,DEPARTMENT_STORE,0.11709999999999998
영유아가족,DEPARTMENT_STORE,0.1171
청소년가족,TRAVEL,0.1715
*,DEPARTMENT_STORE,0.1171
싱글,TRAVEL,0.17149999999999999
청소년가족,HOME_LIFE_SERVICE,0.0824
싱글,EDUCATION_ACADEMY,0.0771
*,COFFEE,0.2018
신혼부부,BEAUTY,0.1236
*,ENTERTAINMENT,0.0626
싱글,SMALL_RETAIL_STORE,0.1321
싱글,EDUCATION_ACADEMY,0.0771
*,SMALL_RETAIL_STORE,0.13210000000000002
싱글,HOME_LIFE_SERVICE,0.0824
성인자녀가족,EDUCATION_ACADEMY,0.0771
성인자녀가족,CAR_SERVICE_SUPPLIES,0.07509999999999999
신혼부부,BEAUTY,0.12359999999999997
*,GAS_STATION,0.29729999999999995
성인자녀가족,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,FOOD,0.1907
청소년가족,COFFEE,0.2018
성인자녀가족,EDUCATION_ACADEMY,0.07710000000000002
*,HOME_LIFE_SERVICE,0.0824
영유아가족,MEDICAL,0.07530000000000002
*,ENTERTAINMENT,0.0626
영유아가족,HOME_LIFE_SERVICE,0.08240000000000001
*,COFFEE,0.20179999999999998
영유아가족,COFFEE,0.20179999999999998
성인자녀가족,CAR_SERVICE_SUPPLIES,0.0751
신혼부부,MEDICAL,0.07529999999999999
영유아가족,SMALL_RETAIL_STORE,0.1321
청소년가족,SMALL_RETAIL_STORE,0.1321
신혼부부,CLOTHING_ACCESSORIES,0.10580000000000003
실버,COFFEE,0.20179999999999998
신혼부부,CAR_SERVICE_SUPPLIES,0.07510000000000001
신혼부부,FOOD,0.1907
청소년가족,FOOD,0.1907
청소년가족,SMALL_RETAIL_STORE,0.1321
성인자녀가족,CAR,0.1251
청소년가족,BEAUTY,0.12359999999999999
실버,ACCOMMODATION,0.1087
신혼부부,CAR,0.1251
신혼부부,CAR,0.1251
싱글,CAR,0.12509999999999996
청소년가족,CAR,0.1251
실버,ACCOMMODATION,0.1087
실버,ENTERTAINMENT,0.06259999999999999
성인자녀가족,MEDICAL,0.0753
청소년가족,EDUCATION_ACADEMY,0.0771
싱글,EDUCATION_ACADEMY,0.0771
실버,ENTERTAINMENT,0.0626
성인자녀가족,MEDICAL,0.0753
청소년가족,MEDICAL,0.0753
실버,EDUCATION_ACADEMY,0.07710000000000002
성인자녀가족,ENTERTAINMENT,0.0626
영유아가족,TRAVEL,0.1715
청소년가족,BEAUTY,0.12359999999999999
신혼부부,BEAUTY,0.12359999999999999
신혼부부,MEDICAL,0.07529999999999999
신혼부부,BEAUTY,0.12360000000000002
*,BEAUTY,0.12360000000000002
청소년가족,BEAUTY,0.1236
영유아가족,BEAUTY,0.1236
성인자녀가족,GAS_STATION,0.2973
성인자녀가족,GAS_STATION,0.29729999999999995
싱글,GAS_STATION,0.29730000000000006
신혼부부,GAS_STATION,0.2973
*,GAS_STATION,0.2973
*,GAS_STATION,0.2973
청소년가족,LARGE_DISCOUNT_STORE,0.1171
영유아가족,LARGE_DISCOUNT_STORE,0.1171
실버,LARGE_DISCOUNT_STORE,0.1171
성인자녀가족,LARGE_DISCOUNT_STORE,0.1171
영유아가족,LARGE_DISCOUNT_STORE,0.11710000000000001
싱글,DEPARTMENT_STORE,0.11710000000000001
실버,E_COMMERCE,0.0479
실버,TRAVEL,0.1715
실버,TRAVEL,0.17150000000000004
청소년가족,TRAVEL,0.1715
신혼부부,DEPARTMENT_STORE,0.1171
*,DEPARTMENT_STORE,0.1171
성인자녀가족,TRAVEL,0.1715
*,TRAVEL,0.17150000000000004
*,TRAVEL,0.17149999999999999
싱글,FOOD,0.1907
싱글,MEDICAL,0.07529999999999999
영유아가족,FOOD,0.19070000000000004
청소년가족,CLOTHING_ACCESSORIES,0.10579999999999998
신혼부부,CLOTHING_ACCESSORIES,0.1058
신혼부부,COFFEE,0.2018
실버,COFFEE,0.2018
청소년가족,ENTERTAINMENT,0.06259999999999999
싱글,MEDICAL,0.07530000000000002
성인자녀가족,MEDICAL,0.07529999999999999
영유아가족,BEAUTY,0.1236
성인자녀가족,CAR,0.12509999999999996
청소년가족,SMALL_RETAIL_STORE,0.1321
실버,HOME_LIFE_SERVICE,0.0824
성인자녀가족,SMALL_RETAIL_STORE,0.1321
성인자녀가족,CLOTHING_ACCESSORIES,0.1058
청소년가족,HOME_LIFE_SERVICE,0.08240000000000001
신혼부부,COFFEE,0.2018
성인자녀가족,ENTERTAINMENT,0.06260000000000002
신혼부부,MEDICAL,0.0753
실버,CAR_SERVICE_SUPPLIES,0.0751
성인자녀가족,COFFEE,0.2018
영유아가족,CAR,0.1251
실버,ENTERTAINMENT,0.0626
싱글,ELECTRONICS_FURNITURE,0.09229999999999998
*,LARGE_DISCOUNT_STORE,0.1171
*,LARGE_DISCOUNT_STORE,0.11710000000000001
싱글,TRAVEL,0.1715
싱글,HOME_LIFE_SERVICE,0.0824
실버,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,BEAUTY,0.12360000000000002
영유아가족,CAR_SERVICE_SUPPLIES,0.0751
신혼부부,GAS_STATION,0.29730000000000006
싱글,COFFEE,0.2018
싱글,LARGE_DISCOUNT_STORE,0.1171
신혼부부,CLOTHING_ACCESSORIES,0.10580000000000002
신혼부부,SPORTS_CULTURE_LEISURE,0.3711
청소년가족,LARGE_DISCOUNT_STORE,0.11709999999999998
청소년가족,HOME_LIFE_SERVICE,0.0824
*,SMALL_RETAIL_STORE,0.13209999999999997
영유아가족,GAS_STATION,0.2973
신혼부부,CAR_SERVICE_SUPPLIES,0.0751
영유아가족,EDUCATION_ACADEMY,0.0771
싱글,E_COMMERCE,0.04789999999999999
실버,SMALL_RETAIL_STORE,0.1321
싱글,DEPARTMENT_STORE,0.11710000000000001
영유아가족,COFFEE,0.20180000000000003
영유아가족,CLOTHING_ACCESSORIES,0.1058
*,HOME_LIFE_SERVICE,0.08239999999999999
실버,CLOTHING_ACCESSORIES,0.1058
